item_id,file_name,status
ad_astra:chiseled_glacio_stone_stairs,ad_astra__chiseled_glacio_stone_stairs.png,OK
ad_astra:chiseled_mars_stone_bricks,ad_astra__chiseled_mars_stone_bricks.png,OK
ad_astra:chiseled_mars_stone_slab,ad_astra__chiseled_mars_stone_slab.png,OK
ad_astra:chiseled_mars_stone_stairs,ad_astra__chiseled_mars_stone_stairs.png,OK
ad_astra:chiseled_mercury_stone_bricks,ad_astra__chiseled_mercury_stone_bricks.png,OK
ad_astra:chiseled_mercury_stone_slab,ad_astra__chiseled_mercury_stone_slab.png,OK
ad_astra:chiseled_mercury_stone_stairs,ad_astra__chiseled_mercury_stone_stairs.png,OK
ad_astra:chiseled_moon_stone_bricks,ad_astra__chiseled_moon_stone_bricks.png,OK
ad_astra:chiseled_moon_stone_slab,ad_astra__chiseled_moon_stone_slab.png,OK
ad_astra:chiseled_moon_stone_stairs,ad_astra__chiseled_moon_stone_stairs.png,OK
ad_astra:chiseled_permafrost_brick_slab,ad_astra__chiseled_permafrost_brick_slab.png,OK
ad_astra:chiseled_permafrost_brick_stairs,ad_astra__chiseled_permafrost_brick_stairs.png,OK
ad_astra:chiseled_permafrost_bricks,ad_astra__chiseled_permafrost_bricks.png,OK
ad_astra:chiseled_venus_stone_bricks,ad_astra__chiseled_venus_stone_bricks.png,OK
ad_astra:chiseled_venus_stone_slab,ad_astra__chiseled_venus_stone_slab.png,OK
ad_astra:chiseled_venus_stone_stairs,ad_astra__chiseled_venus_stone_stairs.png,OK
ad_astra:coal_generator,ad_astra__coal_generator.png,OK
ad_astra:compressor,ad_astra__compressor.png,OK
ad_astra:conglomerate,ad_astra__conglomerate.png,OK
ad_astra:corrupted_lunarian_spawn_egg,ad_astra__corrupted_lunarian_spawn_egg.png,OK
ad_astra:cracked_glacio_stone_bricks,ad_astra__cracked_glacio_stone_bricks.png,OK
ad_astra:cracked_mars_stone_bricks,ad_astra__cracked_mars_stone_bricks.png,OK
ad_astra:cracked_mercury_stone_bricks,ad_astra__cracked_mercury_stone_bricks.png,OK
ad_astra:cracked_moon_stone_bricks,ad_astra__cracked_moon_stone_bricks.png,OK
ad_astra:cracked_permafrost_bricks,ad_astra__cracked_permafrost_bricks.png,OK
ad_astra:cracked_venus_sandstone_bricks,ad_astra__cracked_venus_sandstone_bricks.png,OK
ad_astra:cracked_venus_stone_bricks,ad_astra__cracked_venus_stone_bricks.png,OK
ad_astra:cryo_freezer,ad_astra__cryo_freezer.png,OK
ad_astra:cryo_fuel_bucket,ad_astra__cryo_fuel_bucket.png,OK
ad_astra:cyan_flag,ad_astra__cyan_flag.png,OK
ad_astra:cyan_industrial_lamp,ad_astra__cyan_industrial_lamp.png,OK
ad_astra:deepslate_calorite_ore,ad_astra__deepslate_calorite_ore.png,OK
ad_astra:deepslate_desh_ore,ad_astra__deepslate_desh_ore.png,OK
ad_astra:deepslate_ice_shard_ore,ad_astra__deepslate_ice_shard_ore.png,OK
ad_astra:deepslate_ostrum_ore,ad_astra__deepslate_ostrum_ore.png,OK
ad_astra:desh_block,ad_astra__desh_block.png,OK
ad_astra:desh_cable,ad_astra__desh_cable.png,OK
ad_astra:desh_engine,ad_astra__desh_engine.png,OK
ad_astra:desh_factory_block,ad_astra__desh_factory_block.png,OK
ad_astra:desh_fluid_pipe,ad_astra__desh_fluid_pipe.png,OK
ad_astra:desh_ingot,ad_astra__desh_ingot.png,OK
ad_astra:desh_nugget,ad_astra__desh_nugget.png,OK
ad_astra:desh_panel,ad_astra__desh_panel.png,OK
ad_astra:desh_pillar,ad_astra__desh_pillar.png,OK
ad_astra:desh_plate,ad_astra__desh_plate.png,OK
ad_astra:desh_plateblock,ad_astra__desh_plateblock.png,OK
ad_astra:desh_plating,ad_astra__desh_plating.png,OK
ad_astra:desh_plating_button,ad_astra__desh_plating_button.png,OK
ad_astra:desh_plating_pressure_plate,ad_astra__desh_plating_pressure_plate.png,OK
ad_astra:desh_plating_slab,ad_astra__desh_plating_slab.png,OK
ad_astra:desh_plating_stairs,ad_astra__desh_plating_stairs.png,OK
ad_astra:desh_sliding_door,ad_astra__desh_sliding_door.png,OK
ad_astra:desh_tank,ad_astra__desh_tank.png,OK
ad_astra:earth_globe,ad_astra__earth_globe.png,OK
ad_astra:encased_calorite_block,ad_astra__encased_calorite_block.png,OK
ad_astra:encased_desh_block,ad_astra__encased_desh_block.png,OK
ad_astra:encased_etrium_block,ad_astra__encased_etrium_block.png,OK
ad_astra:encased_iron_block,ad_astra__encased_iron_block.png,OK
ad_astra:encased_ostrum_block,ad_astra__encased_ostrum_block.png,OK
ad_astra:encased_steel_block,ad_astra__encased_steel_block.png,OK
ad_astra:energizer,ad_astra__energizer.png,OK
ad_astra:engine_frame,ad_astra__engine_frame.png,OK
ad_astra:etrionic_blast_furnace,ad_astra__etrionic_blast_furnace.png,OK
ad_astra:etrionic_capacitor,ad_astra__etrionic_capacitor.png,OK
ad_astra:etrionic_core,ad_astra__etrionic_core.png,OK
ad_astra:etrium_block,ad_astra__etrium_block.png,OK
ad_astra:etrium_factory_block,ad_astra__etrium_factory_block.png,OK
ad_astra:etrium_ingot,ad_astra__etrium_ingot.png,OK
ad_astra:etrium_nugget,ad_astra__etrium_nugget.png,OK
ad_astra:etrium_panel,ad_astra__etrium_panel.png,OK
ad_astra:etrium_plate,ad_astra__etrium_plate.png,OK
ad_astra:etrium_plateblock,ad_astra__etrium_plateblock.png,OK
ad_astra:etrium_rod,ad_astra__etrium_rod.png,OK
ad_astra:fan,ad_astra__fan.png,OK
ad_astra:fluid_pipe_duct,ad_astra__fluid_pipe_duct.png,OK
ad_astra:fuel_bucket,ad_astra__fuel_bucket.png,OK
ad_astra:fuel_refinery,ad_astra__fuel_refinery.png,OK
ad_astra:gas_tank,ad_astra__gas_tank.png,OK
ad_astra:glacian_button,ad_astra__glacian_button.png,OK
ad_astra:glacian_door,ad_astra__glacian_door.png,OK
ad_astra:glacian_fence,ad_astra__glacian_fence.png,OK
ad_astra:glacian_fence_gate,ad_astra__glacian_fence_gate.png,OK
ad_astra:glacian_fur,ad_astra__glacian_fur.png,OK
ad_astra:glacian_leaves,ad_astra__glacian_leaves.png,OK
ad_astra:glacian_log,ad_astra__glacian_log.png,OK
ad_astra:glacian_planks,ad_astra__glacian_planks.png,OK
ad_astra:glacian_pressure_plate,ad_astra__glacian_pressure_plate.png,OK
ad_astra:glacian_ram_spawn_egg,ad_astra__glacian_ram_spawn_egg.png,OK
ad_astra:glacian_slab,ad_astra__glacian_slab.png,OK
ad_astra:glacian_stairs,ad_astra__glacian_stairs.png,OK
ad_astra:glacian_trapdoor,ad_astra__glacian_trapdoor.png,OK
ad_astra:glacio_coal_ore,ad_astra__glacio_coal_ore.png,OK
ad_astra:glacio_cobblestone,ad_astra__glacio_cobblestone.png,OK
ad_astra:glacio_cobblestone_slab,ad_astra__glacio_cobblestone_slab.png,OK
ad_astra:glacio_cobblestone_stairs,ad_astra__glacio_cobblestone_stairs.png,OK
ad_astra:glacio_copper_ore,ad_astra__glacio_copper_ore.png,OK
ad_astra:glacio_globe,ad_astra__glacio_globe.png,OK
ad_astra:glacio_ice_shard_ore,ad_astra__glacio_ice_shard_ore.png,OK
ad_astra:glacio_iron_ore,ad_astra__glacio_iron_ore.png,OK
ad_astra:glacio_lapis_ore,ad_astra__glacio_lapis_ore.png,OK
ad_astra:glacio_pillar,ad_astra__glacio_pillar.png,OK
ad_astra:glacio_stone,ad_astra__glacio_stone.png,OK
ad_astra:glacio_stone_brick_slab,ad_astra__glacio_stone_brick_slab.png,OK
ad_astra:glacio_stone_brick_stairs,ad_astra__glacio_stone_brick_stairs.png,OK
ad_astra:glacio_stone_brick_wall,ad_astra__glacio_stone_brick_wall.png,OK
ad_astra:glacio_stone_bricks,ad_astra__glacio_stone_bricks.png,OK
ad_astra:glacio_stone_slab,ad_astra__glacio_stone_slab.png,OK
ad_astra:glacio_stone_stairs,ad_astra__glacio_stone_stairs.png,OK
ad_astra:glowing_calorite_pillar,ad_astra__glowing_calorite_pillar.png,OK
ad_astra:glowing_desh_pillar,ad_astra__glowing_desh_pillar.png,OK
ad_astra:glowing_iron_pillar,ad_astra__glowing_iron_pillar.png,OK
ad_astra:glowing_ostrum_pillar,ad_astra__glowing_ostrum_pillar.png,OK
ad_astra:glowing_steel_pillar,ad_astra__glowing_steel_pillar.png,OK
ad_astra:gravity_normalizer,ad_astra__gravity_normalizer.png,OK
ad_astra:gray_flag,ad_astra__gray_flag.png,OK
ad_astra:gray_industrial_lamp,ad_astra__gray_industrial_lamp.png,OK
ad_astra:green_flag,ad_astra__green_flag.png,OK
ad_astra:green_industrial_lamp,ad_astra__green_industrial_lamp.png,OK
ad_astra:hydrogen_bucket,ad_astra__hydrogen_bucket.png,OK
ad_astra:ice_shard,ad_astra__ice_shard.png,OK
ad_astra:infernal_spire_block,ad_astra__infernal_spire_block.png,OK
ad_astra:iron_factory_block,ad_astra__iron_factory_block.png,OK
ad_astra:iron_panel,ad_astra__iron_panel.png,OK
ad_astra:iron_pillar,ad_astra__iron_pillar.png,OK
ad_astra:iron_plate,ad_astra__iron_plate.png,OK
ad_astra:iron_plateblock,ad_astra__iron_plateblock.png,OK
ad_astra:iron_plating,ad_astra__iron_plating.png,OK
ad_astra:iron_plating_button,ad_astra__iron_plating_button.png,OK
ad_astra:iron_plating_pressure_plate,ad_astra__iron_plating_pressure_plate.png,OK
ad_astra:iron_plating_slab,ad_astra__iron_plating_slab.png,OK
ad_astra:iron_plating_stairs,ad_astra__iron_plating_stairs.png,OK
ad_astra:iron_rod,ad_astra__iron_rod.png,OK
ad_astra:iron_sliding_door,ad_astra__iron_sliding_door.png,OK
ad_astra:jet_suit,ad_astra__jet_suit.png,OK
ad_astra:jet_suit_boots,ad_astra__jet_suit_boots.png,OK
ad_astra:jet_suit_helmet,ad_astra__jet_suit_helmet.png,OK
ad_astra:jet_suit_pants,ad_astra__jet_suit_pants.png,OK
ad_astra:large_gas_tank,ad_astra__large_gas_tank.png,OK
ad_astra:launch_pad,ad_astra__launch_pad.png,OK
ad_astra:light_blue_flag,ad_astra__light_blue_flag.png,OK
ad_astra:light_blue_industrial_lamp,ad_astra__light_blue_industrial_lamp.png,OK
ad_astra:light_gray_flag,ad_astra__light_gray_flag.png,OK
ad_astra:light_gray_industrial_lamp,ad_astra__light_gray_industrial_lamp.png,OK
ad_astra:lime_flag,ad_astra__lime_flag.png,OK
ad_astra:lime_industrial_lamp,ad_astra__lime_industrial_lamp.png,OK
ad_astra:lunarian_spawn_egg,ad_astra__lunarian_spawn_egg.png,OK
ad_astra:lunarian_wandering_trader_spawn_egg,ad_astra__lunarian_wandering_trader_spawn_egg.png,OK
ad_astra:magenta_flag,ad_astra__magenta_flag.png,OK
ad_astra:magenta_industrial_lamp,ad_astra__magenta_industrial_lamp.png,OK
ad_astra:marked_iron_pillar,ad_astra__marked_iron_pillar.png,OK
ad_astra:mars_cobblestone,ad_astra__mars_cobblestone.png,OK
ad_astra:mars_cobblestone_slab,ad_astra__mars_cobblestone_slab.png,OK
ad_astra:mars_cobblestone_stairs,ad_astra__mars_cobblestone_stairs.png,OK
ad_astra:mars_diamond_ore,ad_astra__mars_diamond_ore.png,OK
ad_astra:mars_globe,ad_astra__mars_globe.png,OK
ad_astra:mars_ice_shard_ore,ad_astra__mars_ice_shard_ore.png,OK
ad_astra:mars_iron_ore,ad_astra__mars_iron_ore.png,OK
ad_astra:mars_ostrum_ore,ad_astra__mars_ostrum_ore.png,OK
ad_astra:mars_pillar,ad_astra__mars_pillar.png,OK
ad_astra:mars_sand,ad_astra__mars_sand.png,OK
ad_astra:mars_stone,ad_astra__mars_stone.png,OK
ad_astra:mars_stone_brick_slab,ad_astra__mars_stone_brick_slab.png,OK
ad_astra:mars_stone_brick_stairs,ad_astra__mars_stone_brick_stairs.png,OK
ad_astra:mars_stone_brick_wall,ad_astra__mars_stone_brick_wall.png,OK
ad_astra:mars_stone_bricks,ad_astra__mars_stone_bricks.png,OK
ad_astra:mars_stone_slab,ad_astra__mars_stone_slab.png,OK
ad_astra:mars_stone_stairs,ad_astra__mars_stone_stairs.png,OK
ad_astra:martian_raptor_spawn_egg,ad_astra__martian_raptor_spawn_egg.png,OK
ad_astra:mercury_cobblestone,ad_astra__mercury_cobblestone.png,OK
ad_astra:mercury_cobblestone_slab,ad_astra__mercury_cobblestone_slab.png,OK
ad_astra:mercury_cobblestone_stairs,ad_astra__mercury_cobblestone_stairs.png,OK
ad_astra:mercury_globe,ad_astra__mercury_globe.png,OK
ad_astra:mercury_iron_ore,ad_astra__mercury_iron_ore.png,OK
ad_astra:mercury_pillar,ad_astra__mercury_pillar.png,OK
ad_astra:mercury_stone,ad_astra__mercury_stone.png,OK
ad_astra:mercury_stone_brick_slab,ad_astra__mercury_stone_brick_slab.png,OK
ad_astra:mercury_stone_brick_stairs,ad_astra__mercury_stone_brick_stairs.png,OK
ad_astra:mercury_stone_brick_wall,ad_astra__mercury_stone_brick_wall.png,OK
ad_astra:mercury_stone_bricks,ad_astra__mercury_stone_bricks.png,OK
ad_astra:mercury_stone_slab,ad_astra__mercury_stone_slab.png,OK
ad_astra:mercury_stone_stairs,ad_astra__mercury_stone_stairs.png,OK
ad_astra:mogler_spawn_egg,ad_astra__mogler_spawn_egg.png,OK
ad_astra:moon_cheese_ore,ad_astra__moon_cheese_ore.png,OK
ad_astra:moon_cobblestone,ad_astra__moon_cobblestone.png,OK
ad_astra:moon_cobblestone_slab,ad_astra__moon_cobblestone_slab.png,OK
ad_astra:moon_cobblestone_stairs,ad_astra__moon_cobblestone_stairs.png,OK
ad_astra:moon_deepslate,ad_astra__moon_deepslate.png,OK
ad_astra:moon_desh_ore,ad_astra__moon_desh_ore.png,OK
ad_astra:moon_globe,ad_astra__moon_globe.png,OK
ad_astra:moon_ice_shard_ore,ad_astra__moon_ice_shard_ore.png,OK
ad_astra:moon_iron_ore,ad_astra__moon_iron_ore.png,OK
ad_astra:moon_pillar,ad_astra__moon_pillar.png,OK
ad_astra:moon_sand,ad_astra__moon_sand.png,OK
ad_astra:moon_stone,ad_astra__moon_stone.png,OK
ad_astra:moon_stone_brick_slab,ad_astra__moon_stone_brick_slab.png,OK
ad_astra:moon_stone_brick_stairs,ad_astra__moon_stone_brick_stairs.png,OK
ad_astra:moon_stone_brick_wall,ad_astra__moon_stone_brick_wall.png,OK
ad_astra:moon_stone_bricks,ad_astra__moon_stone_bricks.png,OK
ad_astra:moon_stone_slab,ad_astra__moon_stone_slab.png,OK
ad_astra:moon_stone_stairs,ad_astra__moon_stone_stairs.png,OK
ad_astra:nasa_workbench,ad_astra__nasa_workbench.png,OK
ad_astra:netherite_space_boots,ad_astra__netherite_space_boots.png,OK
ad_astra:netherite_space_helmet,ad_astra__netherite_space_helmet.png,OK
ad_astra:netherite_space_pants,ad_astra__netherite_space_pants.png,OK
ad_astra:netherite_space_suit,ad_astra__netherite_space_suit.png,OK
ad_astra:oil_bucket,ad_astra__oil_bucket.png,OK
ad_astra:orange_flag,ad_astra__orange_flag.png,OK
ad_astra:orange_industrial_lamp,ad_astra__orange_industrial_lamp.png,OK
ad_astra:ostrum_block,ad_astra__ostrum_block.png,OK
ad_astra:ostrum_engine,ad_astra__ostrum_engine.png,OK
ad_astra:ostrum_factory_block,ad_astra__ostrum_factory_block.png,OK
ad_astra:ostrum_fluid_pipe,ad_astra__ostrum_fluid_pipe.png,OK
ad_astra:ostrum_ingot,ad_astra__ostrum_ingot.png,OK
ad_astra:ostrum_nugget,ad_astra__ostrum_nugget.png,OK
ad_astra:ostrum_panel,ad_astra__ostrum_panel.png,OK
ad_astra:ostrum_pillar,ad_astra__ostrum_pillar.png,OK
ad_astra:ostrum_plate,ad_astra__ostrum_plate.png,OK
ad_astra:ostrum_plateblock,ad_astra__ostrum_plateblock.png,OK
ad_astra:ostrum_plating,ad_astra__ostrum_plating.png,OK
ad_astra:ostrum_plating_button,ad_astra__ostrum_plating_button.png,OK
ad_astra:ostrum_plating_pressure_plate,ad_astra__ostrum_plating_pressure_plate.png,OK
ad_astra:ostrum_plating_slab,ad_astra__ostrum_plating_slab.png,OK
ad_astra:ostrum_plating_stairs,ad_astra__ostrum_plating_stairs.png,OK
ad_astra:ostrum_sliding_door,ad_astra__ostrum_sliding_door.png,OK
ad_astra:ostrum_tank,ad_astra__ostrum_tank.png,OK
ad_astra:oxygen_bucket,ad_astra__oxygen_bucket.png,OK
ad_astra:oxygen_distributor,ad_astra__oxygen_distributor.png,OK
ad_astra:oxygen_gear,ad_astra__oxygen_gear.png,OK
ad_astra:oxygen_loader,ad_astra__oxygen_loader.png,OK
ad_astra:oxygen_sensor,ad_astra__oxygen_sensor.png,OK
ad_astra:permafrost,ad_astra__permafrost.png,OK
ad_astra:permafrost_brick_slab,ad_astra__permafrost_brick_slab.png,OK
ad_astra:permafrost_brick_stairs,ad_astra__permafrost_brick_stairs.png,OK
ad_astra:permafrost_brick_wall,ad_astra__permafrost_brick_wall.png,OK
ad_astra:permafrost_bricks,ad_astra__permafrost_bricks.png,OK
ad_astra:permafrost_pillar,ad_astra__permafrost_pillar.png,OK
ad_astra:permafrost_tiles,ad_astra__permafrost_tiles.png,OK
ad_astra:photovoltaic_etrium_cell,ad_astra__photovoltaic_etrium_cell.png,OK
ad_astra:photovoltaic_vesnium_cell,ad_astra__photovoltaic_vesnium_cell.png,OK
ad_astra:pink_flag,ad_astra__pink_flag.png,OK
ad_astra:pink_industrial_lamp,ad_astra__pink_industrial_lamp.png,OK
ad_astra:polished_conglomerate,ad_astra__polished_conglomerate.png,OK
ad_astra:polished_glacio_stone,ad_astra__polished_glacio_stone.png,OK
ad_astra:polished_glacio_stone_slab,ad_astra__polished_glacio_stone_slab.png,OK
ad_astra:polished_glacio_stone_stairs,ad_astra__polished_glacio_stone_stairs.png,OK
ad_astra:polished_mars_stone,ad_astra__polished_mars_stone.png,OK
ad_astra:polished_mars_stone_slab,ad_astra__polished_mars_stone_slab.png,OK
ad_astra:polished_mars_stone_stairs,ad_astra__polished_mars_stone_stairs.png,OK
ad_astra:polished_mercury_stone,ad_astra__polished_mercury_stone.png,OK
ad_astra:polished_mercury_stone_slab,ad_astra__polished_mercury_stone_slab.png,OK
ad_astra:polished_mercury_stone_stairs,ad_astra__polished_mercury_stone_stairs.png,OK
ad_astra:polished_moon_stone,ad_astra__polished_moon_stone.png,OK
ad_astra:polished_moon_stone_slab,ad_astra__polished_moon_stone_slab.png,OK
ad_astra:polished_moon_stone_stairs,ad_astra__polished_moon_stone_stairs.png,OK
ad_astra:polished_permafrost,ad_astra__polished_permafrost.png,OK
ad_astra:polished_permafrost_slab,ad_astra__polished_permafrost_slab.png,OK
ad_astra:polished_permafrost_stairs,ad_astra__polished_permafrost_stairs.png,OK
ad_astra:polished_venus_stone,ad_astra__polished_venus_stone.png,OK
ad_astra:polished_venus_stone_slab,ad_astra__polished_venus_stone_slab.png,OK
ad_astra:polished_venus_stone_stairs,ad_astra__polished_venus_stone_stairs.png,OK
ad_astra:purple_flag,ad_astra__purple_flag.png,OK
ad_astra:purple_industrial_lamp,ad_astra__purple_industrial_lamp.png,OK
ad_astra:pygro_brute_spawn_egg,ad_astra__pygro_brute_spawn_egg.png,OK
ad_astra:pygro_spawn_egg,ad_astra__pygro_spawn_egg.png,OK
ad_astra:radio,ad_astra__radio.png,OK
ad_astra:raw_calorite,ad_astra__raw_calorite.png,OK
ad_astra:raw_calorite_block,ad_astra__raw_calorite_block.png,OK
ad_astra:raw_desh,ad_astra__raw_desh.png,OK
ad_astra:raw_desh_block,ad_astra__raw_desh_block.png,OK
ad_astra:raw_ostrum,ad_astra__raw_ostrum.png,OK
ad_astra:raw_ostrum_block,ad_astra__raw_ostrum_block.png,OK
ad_astra:red_flag,ad_astra__red_flag.png,OK
ad_astra:red_industrial_lamp,ad_astra__red_industrial_lamp.png,OK
ad_astra:reinforced_door,ad_astra__reinforced_door.png,OK
ad_astra:rocket_fin,ad_astra__rocket_fin.png,OK
ad_astra:rocket_nose_cone,ad_astra__rocket_nose_cone.png,OK
ad_astra:sky_stone,ad_astra__sky_stone.png,OK
ad_astra:small_black_industrial_lamp,ad_astra__small_black_industrial_lamp.png,OK
ad_astra:small_blue_industrial_lamp,ad_astra__small_blue_industrial_lamp.png,OK
ad_astra:small_brown_industrial_lamp,ad_astra__small_brown_industrial_lamp.png,OK
ad_astra:small_cyan_industrial_lamp,ad_astra__small_cyan_industrial_lamp.png,OK
ad_astra:small_gray_industrial_lamp,ad_astra__small_gray_industrial_lamp.png,OK
ad_astra:small_green_industrial_lamp,ad_astra__small_green_industrial_lamp.png,OK
ad_astra:small_light_blue_industrial_lamp,ad_astra__small_light_blue_industrial_lamp.png,OK
ad_astra:small_light_gray_industrial_lamp,ad_astra__small_light_gray_industrial_lamp.png,OK
ad_astra:small_lime_industrial_lamp,ad_astra__small_lime_industrial_lamp.png,OK
ad_astra:small_magenta_industrial_lamp,ad_astra__small_magenta_industrial_lamp.png,OK
ad_astra:small_orange_industrial_lamp,ad_astra__small_orange_industrial_lamp.png,OK
ad_astra:small_pink_industrial_lamp,ad_astra__small_pink_industrial_lamp.png,OK
ad_astra:small_purple_industrial_lamp,ad_astra__small_purple_industrial_lamp.png,OK
ad_astra:small_red_industrial_lamp,ad_astra__small_red_industrial_lamp.png,OK
ad_astra:small_white_industrial_lamp,ad_astra__small_white_industrial_lamp.png,OK
ad_astra:small_yellow_industrial_lamp,ad_astra__small_yellow_industrial_lamp.png,OK
ad_astra:solar_panel,ad_astra__solar_panel.png,OK
ad_astra:space_boots,ad_astra__space_boots.png,OK
ad_astra:space_helmet,ad_astra__space_helmet.png,OK
ad_astra:space_painting,ad_astra__space_painting.png,OK
ad_astra:space_pants,ad_astra__space_pants.png,OK
ad_astra:space_suit,ad_astra__space_suit.png,OK
ad_astra:star_crawler_spawn_egg,ad_astra__star_crawler_spawn_egg.png,OK
ad_astra:steel_block,ad_astra__steel_block.png,OK
ad_astra:steel_cable,ad_astra__steel_cable.png,OK
ad_astra:steel_door,ad_astra__steel_door.png,OK
ad_astra:steel_engine,ad_astra__steel_engine.png,OK
ad_astra:steel_factory_block,ad_astra__steel_factory_block.png,OK
ad_astra:steel_ingot,ad_astra__steel_ingot.png,OK
ad_astra:steel_nugget,ad_astra__steel_nugget.png,OK
ad_astra:steel_panel,ad_astra__steel_panel.png,OK
ad_astra:steel_pillar,ad_astra__steel_pillar.png,OK
ad_astra:steel_plate,ad_astra__steel_plate.png,OK
ad_astra:steel_plateblock,ad_astra__steel_plateblock.png,OK
ad_astra:steel_plating,ad_astra__steel_plating.png,OK
ad_astra:steel_plating_button,ad_astra__steel_plating_button.png,OK
ad_astra:steel_plating_pressure_plate,ad_astra__steel_plating_pressure_plate.png,OK
ad_astra:steel_plating_slab,ad_astra__steel_plating_slab.png,OK
ad_astra:steel_plating_stairs,ad_astra__steel_plating_stairs.png,OK
ad_astra:steel_rod,ad_astra__steel_rod.png,OK
ad_astra:steel_sliding_door,ad_astra__steel_sliding_door.png,OK
ad_astra:steel_tank,ad_astra__steel_tank.png,OK
ad_astra:steel_trapdoor,ad_astra__steel_trapdoor.png,OK
ad_astra:stripped_glacian_log,ad_astra__stripped_glacian_log.png,OK
ad_astra:strophar_cap,ad_astra__strophar_cap.png,OK
ad_astra:strophar_door,ad_astra__strophar_door.png,OK
ad_astra:strophar_fence,ad_astra__strophar_fence.png,OK
ad_astra:strophar_fence_gate,ad_astra__strophar_fence_gate.png,OK
ad_astra:strophar_ladder,ad_astra__strophar_ladder.png,OK
ad_astra:strophar_mushroom,ad_astra__strophar_mushroom.png,OK
ad_astra:strophar_planks,ad_astra__strophar_planks.png,OK
ad_astra:strophar_slab,ad_astra__strophar_slab.png,OK
ad_astra:strophar_stairs,ad_astra__strophar_stairs.png,OK
ad_astra:strophar_stem,ad_astra__strophar_stem.png,OK
ad_astra:strophar_trapdoor,ad_astra__strophar_trapdoor.png,OK
ad_astra:sulfur_creeper_spawn_egg,ad_astra__sulfur_creeper_spawn_egg.png,OK
ad_astra:ti_69,ad_astra__ti_69.png,OK
ad_astra:tier_1_rocket,ad_astra__tier_1_rocket.png,OK
ad_astra:tier_1_rover,ad_astra__tier_1_rover.png,OK
ad_astra:tier_2_rocket,ad_astra__tier_2_rocket.png,OK
ad_astra:tier_3_rocket,ad_astra__tier_3_rocket.png,OK
ad_astra:tier_4_rocket,ad_astra__tier_4_rocket.png,OK
ad_astra:vent,ad_astra__vent.png,OK
ad_astra:venus_calorite_ore,ad_astra__venus_calorite_ore.png,OK
ad_astra:venus_coal_ore,ad_astra__venus_coal_ore.png,OK
ad_astra:venus_cobblestone,ad_astra__venus_cobblestone.png,OK
ad_astra:venus_cobblestone_slab,ad_astra__venus_cobblestone_slab.png,OK
ad_astra:venus_cobblestone_stairs,ad_astra__venus_cobblestone_stairs.png,OK
ad_astra:venus_diamond_ore,ad_astra__venus_diamond_ore.png,OK
ad_astra:venus_globe,ad_astra__venus_globe.png,OK
