item_id,status,method,textures,output_png
ad_astra:calorite_block,OK,fallback_all,assets/ad_astra/textures/block/calorite_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_block.png
ad_astra:calorite_engine,OK,multi_layer_inventory,assets/ad_astra/textures/item/calorite_engine.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_engine.png
ad_astra:calorite_factory_block,OK,fallback_all,assets/ad_astra/textures/block/calorite_factory_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_factory_block.png
ad_astra:calorite_ingot,OK,multi_layer_inventory,assets/ad_astra/textures/item/calorite_ingot.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_ingot.png
ad_astra:calorite_nugget,OK,multi_layer_inventory,assets/ad_astra/textures/item/calorite_nugget.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_nugget.png
ad_astra:calorite_panel,OK,fallback_all,assets/ad_astra/textures/block/calorite_panel.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_panel.png
ad_astra:calorite_pillar,OK,fallback_side,assets/ad_astra/textures/block/calorite_pillar.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_pillar.png
ad_astra:calorite_plate,OK,multi_layer_inventory,assets/ad_astra/textures/item/calorite_plate.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_plate.png
ad_astra:calorite_plateblock,OK,fallback_all,assets/ad_astra/textures/block/calorite_plateblock.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_plateblock.png
ad_astra:calorite_plating,OK,fallback_all,assets/ad_astra/textures/block/calorite_plating.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_plating.png
ad_astra:calorite_plating_button,UNRESOLVED,unresolved,,
ad_astra:calorite_plating_pressure_plate,UNRESOLVED,unresolved,,
ad_astra:calorite_plating_slab,OK,fallback_side,assets/ad_astra/textures/block/calorite_plating.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_plating_slab.png
ad_astra:calorite_plating_stairs,OK,fallback_particle,assets/ad_astra/textures/block/calorite_plating.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_plating_stairs.png
ad_astra:calorite_sliding_door,OK,multi_layer_inventory,assets/ad_astra/textures/item/calorite_sliding_door.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_sliding_door.png
ad_astra:calorite_tank,OK,multi_layer_inventory,assets/ad_astra/textures/item/calorite_tank.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__calorite_tank.png
ad_astra:cheese,OK,multi_layer_inventory,assets/ad_astra/textures/item/cheese.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cheese.png
ad_astra:cheese_block,OK,fallback_all,assets/ad_astra/textures/block/cheese_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cheese_block.png
ad_astra:chiseled_glacio_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/chiseled_glacio_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_glacio_stone_bricks.png
ad_astra:chiseled_glacio_stone_slab,OK,fallback_side,assets/ad_astra/textures/block/chiseled_glacio_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_glacio_stone_slab.png
ad_astra:chiseled_glacio_stone_stairs,OK,fallback_particle,assets/ad_astra/textures/block/chiseled_glacio_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_glacio_stone_stairs.png
ad_astra:chiseled_mars_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/chiseled_mars_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_mars_stone_bricks.png
ad_astra:chiseled_mars_stone_slab,OK,fallback_side,assets/ad_astra/textures/block/chiseled_mars_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_mars_stone_slab.png
ad_astra:chiseled_mars_stone_stairs,OK,fallback_particle,assets/ad_astra/textures/block/chiseled_mars_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_mars_stone_stairs.png
ad_astra:chiseled_mercury_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/chiseled_mercury_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_mercury_stone_bricks.png
ad_astra:chiseled_mercury_stone_slab,OK,fallback_side,assets/ad_astra/textures/block/chiseled_mercury_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_mercury_stone_slab.png
ad_astra:chiseled_mercury_stone_stairs,OK,fallback_particle,assets/ad_astra/textures/block/chiseled_mercury_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_mercury_stone_stairs.png
ad_astra:chiseled_moon_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/chiseled_moon_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_moon_stone_bricks.png
ad_astra:chiseled_moon_stone_slab,OK,fallback_side,assets/ad_astra/textures/block/chiseled_moon_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_moon_stone_slab.png
ad_astra:chiseled_moon_stone_stairs,OK,fallback_particle,assets/ad_astra/textures/block/chiseled_moon_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_moon_stone_stairs.png
ad_astra:chiseled_permafrost_brick_slab,OK,fallback_side,assets/ad_astra/textures/block/chiseled_permafrost_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_permafrost_brick_slab.png
ad_astra:chiseled_permafrost_brick_stairs,OK,fallback_particle,assets/ad_astra/textures/block/chiseled_permafrost_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_permafrost_brick_stairs.png
ad_astra:chiseled_permafrost_bricks,OK,fallback_all,assets/ad_astra/textures/block/chiseled_permafrost_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_permafrost_bricks.png
ad_astra:chiseled_venus_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/chiseled_venus_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_venus_stone_bricks.png
ad_astra:chiseled_venus_stone_slab,OK,fallback_side,assets/ad_astra/textures/block/chiseled_venus_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_venus_stone_slab.png
ad_astra:chiseled_venus_stone_stairs,OK,fallback_particle,assets/ad_astra/textures/block/chiseled_venus_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__chiseled_venus_stone_stairs.png
ad_astra:coal_generator,OK,fallback_particle,assets/ad_astra/textures/block/coal_generator_front_on.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__coal_generator.png
ad_astra:compressor,OK,fallback_particle,assets/ad_astra/textures/block/compressor_front_on.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__compressor.png
ad_astra:conglomerate,OK,fallback_all,assets/ad_astra/textures/block/conglomerate.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__conglomerate.png
ad_astra:corrupted_lunarian_spawn_egg,UNRESOLVED,unresolved,,
ad_astra:cracked_glacio_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/cracked_glacio_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cracked_glacio_stone_bricks.png
ad_astra:cracked_mars_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/cracked_mars_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cracked_mars_stone_bricks.png
ad_astra:cracked_mercury_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/cracked_mercury_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cracked_mercury_stone_bricks.png
ad_astra:cracked_moon_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/cracked_moon_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cracked_moon_stone_bricks.png
ad_astra:cracked_permafrost_bricks,OK,fallback_all,assets/ad_astra/textures/block/cracked_permafrost_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cracked_permafrost_bricks.png
ad_astra:cracked_venus_sandstone_bricks,OK,fallback_all,assets/ad_astra/textures/block/cracked_venus_sandstone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cracked_venus_sandstone_bricks.png
ad_astra:cracked_venus_stone_bricks,OK,fallback_all,assets/ad_astra/textures/block/cracked_venus_stone_bricks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cracked_venus_stone_bricks.png
ad_astra:cryo_freezer,OK,fallback_particle,assets/ad_astra/textures/block/cryo_freezer.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cryo_freezer.png
ad_astra:cryo_fuel_bucket,OK,multi_layer_inventory,assets/ad_astra/textures/item/cryo_fuel_bucket.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cryo_fuel_bucket.png
ad_astra:cyan_flag,OK,fallback_particle,assets/ad_astra/textures/block/flag/cyan_flag.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cyan_flag.png
ad_astra:cyan_industrial_lamp,OK,fallback_particle,assets/ad_astra/textures/block/lamp/cyan_industrial_lamp.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cyan_industrial_lamp.png
ad_astra:deepslate_calorite_ore,OK,fallback_all,assets/ad_astra/textures/block/deepslate_calorite_ore.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__deepslate_calorite_ore.png
ad_astra:deepslate_desh_ore,OK,fallback_all,assets/ad_astra/textures/block/deepslate_desh_ore.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__deepslate_desh_ore.png
ad_astra:deepslate_ice_shard_ore,OK,fallback_all,assets/ad_astra/textures/block/deepslate_ice_shard_ore.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__deepslate_ice_shard_ore.png
ad_astra:deepslate_ostrum_ore,OK,fallback_all,assets/ad_astra/textures/block/deepslate_ostrum_ore.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__deepslate_ostrum_ore.png
ad_astra:desh_block,OK,fallback_all,assets/ad_astra/textures/block/desh_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_block.png
ad_astra:desh_cable,OK,multi_layer_inventory,assets/ad_astra/textures/item/desh_cable.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_cable.png
ad_astra:desh_engine,OK,multi_layer_inventory,assets/ad_astra/textures/item/desh_engine.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_engine.png
ad_astra:desh_factory_block,OK,fallback_all,assets/ad_astra/textures/block/desh_factory_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_factory_block.png
ad_astra:desh_fluid_pipe,OK,multi_layer_inventory,assets/ad_astra/textures/item/desh_fluid_pipe.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_fluid_pipe.png
ad_astra:desh_ingot,OK,multi_layer_inventory,assets/ad_astra/textures/item/desh_ingot.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_ingot.png
ad_astra:desh_nugget,OK,multi_layer_inventory,assets/ad_astra/textures/item/desh_nugget.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_nugget.png
ad_astra:desh_panel,OK,fallback_all,assets/ad_astra/textures/block/desh_panel.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_panel.png
ad_astra:desh_pillar,OK,fallback_side,assets/ad_astra/textures/block/desh_pillar.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_pillar.png
ad_astra:desh_plate,OK,multi_layer_inventory,assets/ad_astra/textures/item/desh_plate.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_plate.png
ad_astra:desh_plateblock,OK,fallback_all,assets/ad_astra/textures/block/desh_plateblock.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_plateblock.png
ad_astra:desh_plating,OK,fallback_all,assets/ad_astra/textures/block/desh_plating.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_plating.png
ad_astra:desh_plating_button,UNRESOLVED,unresolved,,
ad_astra:desh_plating_pressure_plate,UNRESOLVED,unresolved,,
ad_astra:desh_plating_slab,OK,fallback_side,assets/ad_astra/textures/block/desh_plating.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_plating_slab.png
ad_astra:desh_plating_stairs,OK,fallback_particle,assets/ad_astra/textures/block/desh_plating.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_plating_stairs.png
ad_astra:desh_sliding_door,OK,multi_layer_inventory,assets/ad_astra/textures/item/desh_sliding_door.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_sliding_door.png
ad_astra:desh_tank,OK,multi_layer_inventory,assets/ad_astra/textures/item/desh_tank.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__desh_tank.png
ad_astra:earth_globe,UNRESOLVED,unresolved,,
ad_astra:encased_calorite_block,OK,fallback_all,assets/ad_astra/textures/block/encased_calorite_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__encased_calorite_block.png
ad_astra:encased_desh_block,OK,fallback_all,assets/ad_astra/textures/block/encased_desh_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__encased_desh_block.png
ad_astra:encased_etrium_block,OK,fallback_all,assets/ad_astra/textures/block/encased_etrium_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__encased_etrium_block.png
ad_astra:encased_iron_block,OK,fallback_all,assets/ad_astra/textures/block/encased_iron_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__encased_iron_block.png
ad_astra:encased_ostrum_block,OK,fallback_all,assets/ad_astra/textures/block/encased_ostrum_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__encased_ostrum_block.png
ad_astra:encased_steel_block,OK,fallback_all,assets/ad_astra/textures/block/encased_steel_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__encased_steel_block.png
ad_astra:energizer,OK,fallback_particle,assets/ad_astra/textures/block/energizer_side_blue.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__energizer.png
ad_astra:engine_frame,OK,multi_layer_inventory,assets/ad_astra/textures/item/engine_frame.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__engine_frame.png
ad_astra:etrionic_blast_furnace,OK,fallback_particle,assets/ad_astra/textures/block/etrionic_blast_furnace/etrionic_blast_furnace_on.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrionic_blast_furnace.png
ad_astra:etrionic_capacitor,OK,multi_layer_inventory,assets/ad_astra/textures/item/etrionic_capacitor.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrionic_capacitor.png
ad_astra:etrionic_capacitor_off,OK,multi_layer_inventory,assets/ad_astra/textures/item/etrionic_capacitor_off.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrionic_capacitor_off.png
ad_astra:etrionic_core,OK,multi_layer_inventory,assets/ad_astra/textures/item/etrionic_core.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrionic_core.png
ad_astra:etrium_block,OK,fallback_all,assets/ad_astra/textures/block/etrium_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrium_block.png
ad_astra:etrium_factory_block,OK,fallback_all,assets/ad_astra/textures/block/etrium_factory_block.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrium_factory_block.png
ad_astra:etrium_ingot,OK,multi_layer_inventory,assets/ad_astra/textures/item/etrium_ingot.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrium_ingot.png
ad_astra:etrium_nugget,OK,multi_layer_inventory,assets/ad_astra/textures/item/etrium_nugget.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrium_nugget.png
ad_astra:etrium_panel,OK,fallback_all,assets/ad_astra/textures/block/etrium_panel.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrium_panel.png
ad_astra:etrium_plate,OK,multi_layer_inventory,assets/ad_astra/textures/item/etrium_plate.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrium_plate.png
ad_astra:etrium_plateblock,OK,fallback_all,assets/ad_astra/textures/block/etrium_plateblock.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrium_plateblock.png
ad_astra:etrium_rod,OK,multi_layer_inventory,assets/ad_astra/textures/item/etrium_rod.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__etrium_rod.png
ad_astra:fan,OK,multi_layer_inventory,assets/ad_astra/textures/item/fan.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__fan.png
ad_astra:fluid_pipe_duct,OK,fallback_all,assets/ad_astra/textures/block/fluid_pipe_duct.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__fluid_pipe_duct.png
ad_astra:fuel_bucket,OK,multi_layer_inventory,assets/ad_astra/textures/item/fuel_bucket.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__fuel_bucket.png
ad_astra:fuel_refinery,OK,fallback_particle,assets/ad_astra/textures/block/fuel_refinery_front_on.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__fuel_refinery.png
ad_astra:gas_tank,OK,multi_layer_inventory,assets/ad_astra/textures/item/gas_tank.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__gas_tank.png
ad_astra:glacian_button,UNRESOLVED,unresolved,,
